gender,senior_citizen,partner,dependents,tenure,online_security,online_backup,tech_support,streaming_tv,streaming_movies,payment_method,contract_type,paperless_billing,monthly_charges,total_charges,churn
Female,0,Yes,No,67,No,Yes,No,No,Yes,Credit card (automatic),Month-to-month,No,87.73,5926.31,Yes
Female,0,Yes,No,62,No,No,No,Yes,No,Mailed check,One year,Yes,78.99,4858.35,No
Female,1,Yes,No,40,No,Yes,Yes,No,No,Electronic check,Month-to-month,Yes,55.1,2280.68,Yes
Female,1,Yes,No,67,No,No,No,Yes,No,Bank transfer (automatic),Month-to-month,No,73.47,4905.4,No
Male,1,No,Yes,36,No,No,Yes,No,No,Bank transfer (automatic),Month-to-month,Yes,44.61,1608.27,Yes
Female,0,Yes,No,35,No,Yes,No,No,Yes,Electronic check,Month-to-month,No,119.19,4089.22,Yes
Female,0,No,Yes,14,Yes,No,No,Yes,Yes,Electronic check,Month-to-month,No,83.78,1223.23,Yes
Female,0,Yes,No,57,Yes,No,No,Yes,No,Mailed check,One year,Yes,88.87,5125.48,No
Male,0,No,No,23,No,No,No,No,No,Electronic check,Month-to-month,Yes,103.04,2316.57,Yes
Female,0,Yes,Yes,15,No,Yes,Yes,No,No,Electronic check,One year,No,94.39,1468.71,Yes
Male,0,No,Yes,27,Yes,No,No,No,Yes,Credit card (automatic),Month-to-month,Yes,70.76,1850.25,Yes
Female,0,Yes,No,44,Yes,No,No,Yes,No,Bank transfer (automatic),Two year,Yes,65.56,2913.12,No
Female,0,Yes,No,20,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Month-to-month,No,100.92,2005.42,No
Female,0,Yes,No,26,No,No,No,Yes,No,Bank transfer (automatic),Two year,Yes,70.64,1896.69,No
Female,0,No,No,24,No,Yes,No,No,Yes,Mailed check,One year,No,52.02,1259.78,No
Male,0,No,No,43,Yes,No,No,Yes,No,Mailed check,Two year,No,117.2,5081.48,No
Female,0,Yes,No,52,No,Yes,No,Yes,Yes,Bank transfer (automatic),Month-to-month,Yes,47.54,2527.66,No
Female,0,Yes,Yes,49,No,Yes,Yes,No,Yes,Electronic check,Month-to-month,Yes,28.37,1376.89,Yes
Male,1,No,No,11,No,Yes,No,No,Yes,Electronic check,Month-to-month,Yes,93.83,1030.79,No
Male,0,No,No,25,Yes,No,Yes,Yes,No,Electronic check,Month-to-month,No,52.45,1261.25,No
Male,0,Yes,No,47,No,No,Yes,No,No,Bank transfer (automatic),Month-to-month,Yes,80.44,3767.29,No
Male,0,No,No,16,No,Yes,No,No,No,Bank transfer (automatic),One year,Yes,113.61,1904.53,Yes
Male,0,Yes,Yes,6,No,Yes,Yes,No,No,Mailed check,Month-to-month,No,37.0,256.03,Yes
Female,0,No,Yes,24,No,No,Yes,Yes,No,Mailed check,Month-to-month,Yes,69.02,1609.43,Yes
Male,0,Yes,Yes,49,No,Yes,No,No,No,Credit card (automatic),Month-to-month,Yes,105.6,5247.9,Yes
Female,0,Yes,Yes,48,Yes,Yes,Yes,Yes,Yes,Electronic check,One year,No,86.37,4163.04,Yes
Female,0,Yes,No,10,No,No,No,No,No,Mailed check,One year,Yes,65.68,694.21,Yes
Male,0,No,Yes,49,No,Yes,No,No,No,Bank transfer (automatic),Month-to-month,Yes,127.35,6261.98,No
Male,0,Yes,No,14,Yes,No,No,No,No,Bank transfer (automatic),Month-to-month,Yes,67.71,966.86,Yes
Male,0,No,No,54,Yes,Yes,Yes,No,Yes,Mailed check,Month-to-month,Yes,79.52,4204.45,No
Female,0,No,No,41,No,No,No,No,Yes,Electronic check,One year,Yes,109.58,4542.78,Yes
Male,0,No,No,10,No,No,No,Yes,Yes,Credit card (automatic),One year,Yes,93.54,833.96,Yes
Female,1,Yes,No,26,No,Yes,No,Yes,No,Mailed check,Month-to-month,No,101.72,2690.47,Yes
Male,0,Yes,No,59,Yes,No,Yes,Yes,No,Credit card (automatic),Month-to-month,Yes,48.41,2860.73,No
Male,0,Yes,No,32,Yes,No,Yes,No,No,Bank transfer (automatic),One year,Yes,99.48,3220.83,No
Male,0,No,No,50,Yes,No,No,Yes,No,Credit card (automatic),One year,No,74.07,3710.64,No
Male,0,No,No,54,No,Yes,Yes,No,No,Electronic check,Month-to-month,Yes,52.1,2860.44,Yes
Male,0,Yes,No,3,No,No,No,No,Yes,Mailed check,Month-to-month,No,75.33,226.71,Yes
Female,0,No,No,68,No,No,No,No,Yes,Electronic check,Month-to-month,Yes,74.57,5083.12,Yes
Female,1,Yes,No,25,No,Yes,No,Yes,No,Electronic check,One year,Yes,114.83,2889.07,Yes
Female,0,Yes,No,58,Yes,Yes,No,No,Yes,Electronic check,Month-to-month,Yes,79.15,4675.3,Yes
Male,0,Yes,No,34,No,Yes,No,No,Yes,Mailed check,One year,Yes,51.26,1769.88,Yes
Female,1,No,No,42,No,No,No,No,Yes,Mailed check,One year,No,45.73,1861.22,No
Female,0,Yes,No,26,No,Yes,No,No,Yes,Bank transfer (automatic),Two year,No,68.86,1765.04,No
Male,0,Yes,No,62,Yes,Yes,Yes,Yes,No,Electronic check,Two year,Yes,37.69,2363.52,No
Male,0,No,No,9,No,No,No,Yes,No,Electronic check,Month-to-month,Yes,52.83,532.17,Yes
Male,0,No,No,65,Yes,Yes,No,No,No,Mailed check,One year,Yes,64.14,4136.56,No
Male,0,Yes,No,15,Yes,Yes,No,No,No,Bank transfer (automatic),One year,Yes,59.87,998.92,Yes
Male,0,Yes,Yes,64,Yes,No,Yes,No,Yes,Electronic check,Two year,Yes,87.45,5604.43,No
Female,1,Yes,No,2,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),Month-to-month,Yes,52.29,123.51,Yes
Male,0,Yes,No,1,Yes,No,No,No,No,Mailed check,Month-to-month,Yes,18.0,18.0,Yes
Male,0,Yes,No,7,No,Yes,Yes,No,Yes,Bank transfer (automatic),Two year,Yes,29.54,256.99,Yes
Male,0,No,No,40,Yes,No,No,No,No,Bank transfer (automatic),Month-to-month,No,69.57,2762.83,No
Female,0,Yes,No,20,No,No,No,No,Yes,Mailed check,Two year,Yes,55.92,1084.77,Yes
Male,0,No,No,44,No,Yes,Yes,Yes,No,Bank transfer (automatic),Month-to-month,Yes,40.32,1759.8,No
Male,0,Yes,Yes,60,No,Yes,Yes,Yes,No,Credit card (automatic),Month-to-month,Yes,117.0,7082.39,No
Male,0,Yes,Yes,2,No,No,No,Yes,No,Electronic check,Two year,No,89.89,200.74,No
Female,0,Yes,No,38,No,Yes,Yes,Yes,No,Mailed check,One year,No,68.6,2566.71,No
Male,0,Yes,Yes,54,Yes,Yes,No,No,No,Credit card (automatic),One year,Yes,75.6,4058.49,No
Male,0,Yes,No,31,No,No,No,No,Yes,Credit card (automatic),Month-to-month,No,63.64,2036.17,No
Male,0,Yes,Yes,67,No,No,No,Yes,No,Bank transfer (automatic),Month-to-month,No,39.91,2663.23,No
Female,0,No,No,48,No,No,No,Yes,No,Electronic check,Month-to-month,Yes,94.74,4572.61,Yes
Male,0,No,No,3,No,Yes,Yes,No,No,Mailed check,One year,Yes,90.43,307.53,Yes
Male,0,Yes,No,39,No,Yes,No,No,No,Credit card (automatic),Month-to-month,No,22.54,725.37,No
Female,0,No,No,28,No,No,Yes,No,Yes,Bank transfer (automatic),Month-to-month,Yes,75.43,2169.06,Yes
Male,0,No,No,10,No,Yes,Yes,Yes,Yes,Electronic check,Month-to-month,Yes,78.08,742.48,Yes
Female,0,No,No,69,No,Yes,No,Yes,No,Electronic check,Two year,Yes,62.28,4280.99,No
Male,0,Yes,No,17,No,Yes,Yes,No,Yes,Credit card (automatic),Two year,Yes,120.33,2114.95,No
Female,0,Yes,Yes,7,No,Yes,Yes,No,No,Bank transfer (automatic),Month-to-month,No,117.73,889.22,Yes
Male,0,Yes,Yes,17,No,No,No,No,No,Credit card (automatic),Two year,No,60.94,1058.15,No
Male,0,Yes,No,60,No,Yes,Yes,No,No,Mailed check,Month-to-month,No,64.65,3911.92,No
Male,0,Yes,No,44,No,No,Yes,Yes,Yes,Mailed check,Month-to-month,No,61.83,2764.68,No
Male,0,No,No,60,Yes,Yes,No,Yes,Yes,Electronic check,Month-to-month,No,55.33,3384.04,No
Male,0,No,No,34,Yes,Yes,No,Yes,No,Mailed check,Two year,Yes,47.9,1698.74,No
Female,0,Yes,No,9,No,Yes,No,Yes,No,Electronic check,Month-to-month,No,82.16,744.33,Yes
Female,1,Yes,No,28,Yes,No,No,Yes,No,Electronic check,Month-to-month,Yes,117.07,3244.91,Yes
Male,0,Yes,No,15,No,No,No,Yes,Yes,Electronic check,Two year,Yes,107.2,1596.55,No
Male,1,Yes,No,41,No,No,Yes,Yes,Yes,Electronic check,One year,No,88.94,3652.27,No
Female,0,No,No,20,No,Yes,No,No,No,Credit card (automatic),One year,No,18.0,357.61,No
Female,1,Yes,No,70,No,Yes,Yes,Yes,No,Electronic check,One year,Yes,25.25,1722.01,Yes
Male,1,No,No,28,No,No,No,No,No,Mailed check,One year,Yes,95.54,2694.77,No
Male,0,No,No,23,Yes,Yes,No,Yes,No,Bank transfer (automatic),Month-to-month,Yes,108.86,2433.34,Yes
Female,0,No,Yes,71,Yes,No,Yes,Yes,No,Electronic check,One year,No,83.29,5917.41,Yes
Female,1,No,No,38,No,Yes,No,Yes,No,Mailed check,Month-to-month,Yes,62.67,2388.04,No
Female,1,No,No,13,Yes,Yes,No,Yes,No,Credit card (automatic),Month-to-month,Yes,102.46,1337.1,Yes
Male,1,Yes,No,35,No,Yes,Yes,Yes,No,Bank transfer (automatic),Two year,Yes,88.09,3121.32,No
Female,0,Yes,Yes,19,No,Yes,No,No,No,Mailed check,Month-to-month,No,97.3,1881.01,Yes
Male,0,No,No,52,No,No,No,No,Yes,Credit card (automatic),Month-to-month,No,25.44,1423.02,Yes
Female,1,Yes,No,42,No,No,Yes,Yes,No,Credit card (automatic),Month-to-month,No,78.24,3262.79,No
Female,0,No,No,53,No,No,Yes,Yes,No,Credit card (automatic),Two year,No,112.59,5979.82,No
Male,0,Yes,No,68,No,No,No,Yes,No,Mailed check,Two year,Yes,82.66,5630.48,No
Male,0,Yes,Yes,53,No,Yes,No,No,Yes,Bank transfer (automatic),Month-to-month,Yes,92.76,4923.74,Yes
Male,0,Yes,No,25,No,No,No,Yes,No,Mailed check,Month-to-month,Yes,70.87,1714.91,Yes
Male,0,No,No,15,Yes,Yes,No,Yes,No,Electronic check,One year,Yes,72.55,1034.93,Yes
Male,0,Yes,Yes,39,No,No,No,No,No,Mailed check,One year,No,103.66,4043.06,No
Male,0,Yes,No,33,Yes,Yes,Yes,No,Yes,Credit card (automatic),Month-to-month,Yes,53.93,1708.61,No
Male,0,Yes,No,23,No,No,Yes,No,Yes,Electronic check,Month-to-month,No,51.58,1171.22,Yes
Female,1,No,Yes,59,No,No,No,Yes,No,Credit card (automatic),One year,Yes,58.52,3423.71,Yes
Female,0,No,No,66,Yes,No,No,Yes,No,Credit card (automatic),Month-to-month,Yes,70.56,4643.73,No
Male,0,Yes,No,28,No,No,No,Yes,Yes,Electronic check,One year,No,31.36,928.97,No
Female,0,No,No,50,Yes,No,No,No,Yes,Electronic check,Month-to-month,Yes,87.55,4328.75,Yes
Male,1,Yes,No,71,Yes,No,Yes,No,Yes,Credit card (automatic),Two year,Yes,66.06,4729.26,No
Male,0,No,Yes,1,Yes,No,No,Yes,Yes,Electronic check,One year,No,90.49,64.78,Yes
Female,0,Yes,No,27,Yes,Yes,No,No,Yes,Bank transfer (automatic),One year,Yes,19.14,496.74,No
Male,0,Yes,No,54,No,No,No,Yes,No,Electronic check,One year,Yes,90.58,4912.3,No
Female,0,No,Yes,36,No,Yes,Yes,No,No,Electronic check,Month-to-month,Yes,102.09,3662.74,Yes
Male,0,No,No,58,No,No,Yes,Yes,Yes,Electronic check,Month-to-month,No,80.53,4630.3,Yes
Female,1,Yes,Yes,35,No,No,No,Yes,Yes,Electronic check,Month-to-month,Yes,70.72,2458.55,Yes
Female,0,No,No,5,No,Yes,No,Yes,No,Credit card (automatic),One year,Yes,90.76,373.88,Yes
Male,0,No,No,32,No,No,No,No,No,Electronic check,Two year,Yes,100.51,3233.61,Yes
Male,1,Yes,No,30,No,No,No,Yes,No,Electronic check,Month-to-month,Yes,82.55,2336.92,Yes
Female,0,No,No,61,Yes,No,No,Yes,Yes,Bank transfer (automatic),One year,No,84.34,5184.91,No
Male,1,No,Yes,11,No,No,Yes,No,No,Credit card (automatic),Month-to-month,Yes,109.77,1235.12,Yes
Male,0,Yes,No,12,No,No,No,No,No,Mailed check,Month-to-month,No,88.27,1131.28,No
Female,0,No,No,11,Yes,No,No,No,Yes,Bank transfer (automatic),Month-to-month,No,50.79,656.93,Yes
Male,1,Yes,No,41,No,Yes,No,No,No,Electronic check,Two year,Yes,100.4,4158.49,Yes
Male,0,No,No,72,Yes,Yes,Yes,No,No,Credit card (automatic),Month-to-month,No,67.03,4797.98,Yes
Female,0,Yes,Yes,45,Yes,No,No,No,Yes,Bank transfer (automatic),Month-to-month,No,70.8,3283.71,Yes
Male,1,Yes,Yes,59,No,Yes,Yes,Yes,No,Credit card (automatic),One year,No,72.57,4227.62,No
Male,0,No,Yes,62,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Month-to-month,Yes,93.25,5696.05,No
Male,0,No,Yes,44,No,Yes,No,Yes,No,Credit card (automatic),Month-to-month,Yes,111.97,5010.15,Yes
Male,0,No,Yes,44,No,Yes,No,Yes,No,Mailed check,Month-to-month,Yes,70.59,3132.86,No
Male,0,No,No,18,Yes,No,No,Yes,Yes,Bank transfer (automatic),Month-to-month,Yes,111.55,1923.49,Yes
Female,0,Yes,No,70,No,Yes,No,Yes,Yes,Bank transfer (automatic),Month-to-month,Yes,73.95,5115.52,No
Male,0,Yes,No,57,No,Yes,Yes,Yes,Yes,Electronic check,Month-to-month,Yes,103.65,5932.97,Yes
Female,0,Yes,No,63,No,No,Yes,No,No,Credit card (automatic),One year,No,74.76,4670.88,Yes
Male,0,Yes,No,71,No,No,No,No,Yes,Bank transfer (automatic),Two year,No,58.18,4098.23,No
Female,0,Yes,No,26,No,Yes,No,No,Yes,Credit card (automatic),Two year,Yes,116.13,3107.88,No
Female,1,No,No,11,No,No,No,No,No,Mailed check,Month-to-month,No,55.89,711.47,No
Female,0,No,No,62,Yes,Yes,Yes,Yes,No,Credit card (automatic),Month-to-month,Yes,54.28,3372.25,No
Male,1,Yes,No,35,Yes,No,Yes,Yes,No,Electronic check,Month-to-month,Yes,39.86,1388.15,Yes
Female,0,Yes,No,70,Yes,Yes,No,Yes,No,Credit card (automatic),Month-to-month,No,100.41,7069.62,No
Female,1,No,No,51,No,Yes,No,No,Yes,Electronic check,One year,Yes,106.08,5384.95,No
Male,0,Yes,No,19,Yes,Yes,No,Yes,No,Bank transfer (automatic),Month-to-month,Yes,78.96,1399.77,Yes
Male,0,Yes,No,26,No,No,No,No,No,Electronic check,One year,No,46.39,1081.79,No
Female,1,Yes,No,44,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Two year,No,69.84,3069.53,No
Male,0,Yes,No,29,No,No,Yes,No,No,Mailed check,Month-to-month,No,62.74,1859.06,No
Female,0,Yes,Yes,21,No,No,Yes,No,No,Credit card (automatic),Two year,Yes,45.27,951.36,Yes
Female,0,No,Yes,16,No,Yes,No,Yes,Yes,Credit card (automatic),Month-to-month,Yes,58.27,968.71,Yes
Male,0,Yes,No,47,No,No,Yes,No,Yes,Mailed check,Two year,Yes,82.14,3901.41,Yes
Female,0,No,Yes,3,Yes,Yes,Yes,No,Yes,Credit card (automatic),One year,Yes,55.48,228.8,No
Male,0,Yes,No,7,No,Yes,No,No,No,Bank transfer (automatic),Month-to-month,No,77.0,547.39,Yes
Male,0,No,Yes,4,Yes,Yes,Yes,No,Yes,Mailed check,Month-to-month,Yes,27.37,121.89,Yes
Male,0,Yes,No,53,No,Yes,No,Yes,No,Mailed check,Month-to-month,No,110.3,5844.26,Yes
Female,0,Yes,Yes,3,No,Yes,Yes,Yes,Yes,Electronic check,One year,Yes,60.61,170.19,Yes
Male,0,Yes,No,31,Yes,No,Yes,No,No,Electronic check,Month-to-month,Yes,90.89,2746.72,No
Male,0,Yes,No,9,Yes,No,Yes,Yes,No,Mailed check,Two year,Yes,74.53,723.5,No
Female,0,Yes,Yes,43,No,No,No,Yes,Yes,Mailed check,Month-to-month,Yes,79.66,3408.11,Yes
Female,0,No,Yes,3,No,Yes,No,Yes,Yes,Mailed check,Two year,Yes,42.83,108.65,Yes
Female,0,Yes,No,2,No,No,No,No,No,Credit card (automatic),Month-to-month,No,51.75,79.12,No
Male,0,Yes,No,30,Yes,Yes,No,Yes,Yes,Electronic check,One year,No,52.29,1508.43,No
Male,0,Yes,No,51,Yes,No,Yes,No,Yes,Credit card (automatic),One year,No,70.61,3597.18,No
Female,0,No,No,8,No,No,No,Yes,No,Credit card (automatic),Month-to-month,Yes,101.83,837.86,Yes
Male,0,No,No,36,No,Yes,Yes,Yes,No,Bank transfer (automatic),Month-to-month,No,80.4,2862.59,Yes
Male,0,No,Yes,59,Yes,No,No,Yes,No,Mailed check,Month-to-month,No,48.39,2901.81,No
Male,0,No,No,46,Yes,No,No,Yes,No,Electronic check,One year,Yes,72.1,3299.84,No
Female,0,No,No,55,No,No,Yes,Yes,No,Credit card (automatic),Two year,No,68.06,3674.59,No
Female,0,No,Yes,23,No,No,No,No,No,Bank transfer (automatic),Month-to-month,No,61.58,1478.14,No
Female,0,Yes,No,68,No,Yes,No,Yes,Yes,Credit card (automatic),Two year,No,69.63,4743.77,No
Male,0,No,No,11,No,No,No,Yes,No,Electronic check,Two year,No,88.33,1010.47,Yes
Male,0,No,Yes,44,No,Yes,Yes,Yes,No,Mailed check,One year,Yes,52.72,2359.67,No
Male,0,Yes,Yes,32,No,Yes,No,Yes,No,Mailed check,Month-to-month,Yes,61.7,1931.78,Yes
Female,0,No,Yes,3,Yes,No,No,No,No,Bank transfer (automatic),Month-to-month,Yes,93.57,257.23,Yes
Female,0,Yes,Yes,68,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Two year,Yes,81.26,5571.89,Yes
Female,0,Yes,Yes,51,No,No,No,No,No,Electronic check,One year,Yes,100.7,5218.22,Yes
Male,0,Yes,No,17,No,No,Yes,Yes,No,Electronic check,One year,Yes,104.46,1778.67,Yes
Female,1,No,Yes,4,No,No,No,Yes,Yes,Electronic check,Two year,No,37.35,121.16,Yes
Male,0,No,No,49,Yes,No,Yes,No,Yes,Electronic check,Month-to-month,Yes,76.92,3844.74,No
Male,0,Yes,No,40,Yes,No,No,Yes,No,Electronic check,One year,No,57.81,2284.16,No
Female,0,Yes,No,4,Yes,No,No,No,Yes,Electronic check,One year,No,41.23,179.73,Yes
Female,0,Yes,No,71,No,No,No,No,No,Mailed check,Two year,Yes,51.06,3605.96,No
Female,0,Yes,Yes,52,No,No,No,Yes,No,Bank transfer (automatic),One year,Yes,62.78,3276.75,No
Male,0,No,Yes,34,No,No,No,No,No,Credit card (automatic),Month-to-month,No,62.93,2097.13,No
Male,1,Yes,Yes,18,No,Yes,Yes,Yes,No,Mailed check,Month-to-month,Yes,55.43,980.96,Yes
Female,1,Yes,No,20,Yes,Yes,No,No,Yes,Electronic check,Two year,Yes,69.67,1365.22,Yes
Female,0,Yes,No,33,No,Yes,No,No,Yes,Bank transfer (automatic),One year,No,128.72,4277.54,Yes
Male,0,No,No,5,Yes,No,Yes,Yes,No,Mailed check,Month-to-month,Yes,28.59,150.32,No
Female,0,Yes,No,27,Yes,Yes,No,Yes,Yes,Electronic check,Two year,Yes,97.29,2666.5,Yes
Female,0,No,No,16,No,No,Yes,No,No,Mailed check,Month-to-month,No,69.56,1075.79,Yes
Female,0,Yes,Yes,9,No,No,No,Yes,Yes,Credit card (automatic),Month-to-month,Yes,59.49,526.04,Yes
Female,1,Yes,No,10,Yes,No,No,No,Yes,Mailed check,Two year,Yes,21.56,243.76,No
Female,0,No,Yes,25,Yes,No,No,Yes,No,Credit card (automatic),One year,Yes,88.31,2246.3,Yes
Male,0,Yes,No,28,No,No,No,Yes,No,Electronic check,Two year,Yes,35.42,926.61,Yes
Male,1,No,No,26,Yes,No,No,No,No,Electronic check,Two year,Yes,89.87,2350.91,Yes
Male,0,Yes,Yes,50,No,No,No,No,Yes,Electronic check,Month-to-month,Yes,111.79,5553.0,No
Male,0,No,No,38,No,Yes,No,No,No,Bank transfer (automatic),Month-to-month,Yes,39.21,1531.0,No
Male,1,No,No,14,Yes,No,No,No,No,Mailed check,Two year,No,98.04,1456.29,No
Female,0,No,Yes,71,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),Month-to-month,No,70.61,4895.81,No
Female,0,Yes,No,53,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Month-to-month,Yes,19.74,1016.65,Yes
Male,0,No,No,34,No,Yes,Yes,Yes,Yes,Mailed check,Month-to-month,No,41.08,1408.74,Yes
Female,1,No,Yes,4,Yes,No,No,Yes,No,Electronic check,Month-to-month,Yes,74.28,296.94,No
Male,0,Yes,Yes,66,No,No,No,Yes,No,Bank transfer (automatic),Month-to-month,No,79.63,5297.76,No
Male,0,Yes,Yes,54,Yes,Yes,Yes,No,Yes,Electronic check,One year,Yes,32.06,1734.98,No
Female,0,No,Yes,34,No,No,No,Yes,Yes,Bank transfer (automatic),One year,No,70.76,2382.03,No
Male,0,Yes,No,12,Yes,Yes,Yes,Yes,No,Credit card (automatic),Month-to-month,No,89.77,1031.27,Yes
Male,1,No,No,8,Yes,Yes,No,No,No,Mailed check,Month-to-month,Yes,93.97,698.24,Yes
Female,0,No,No,21,No,Yes,No,Yes,No,Electronic check,Month-to-month,Yes,60.09,1228.51,Yes
Female,1,Yes,No,17,No,Yes,No,No,No,Bank transfer (automatic),One year,Yes,80.52,1343.47,Yes
Male,0,No,No,16,Yes,No,Yes,Yes,No,Electronic check,Month-to-month,Yes,95.74,1549.08,Yes
Male,0,No,No,30,Yes,Yes,No,Yes,No,Electronic check,Month-to-month,Yes,90.46,2706.72,Yes
Female,1,Yes,No,4,No,Yes,No,No,No,Mailed check,One year,No,91.39,336.29,Yes
Male,0,No,Yes,24,Yes,Yes,Yes,No,Yes,Electronic check,Month-to-month,Yes,72.72,1699.96,No
Female,0,Yes,Yes,63,Yes,No,No,No,No,Electronic check,One year,Yes,67.73,4235.47,No
Male,1,Yes,No,63,No,No,No,Yes,No,Bank transfer (automatic),Two year,No,76.53,4796.05,No
Male,0,No,No,1,Yes,No,Yes,Yes,No,Mailed check,Month-to-month,No,51.67,18.0,No
Female,0,Yes,No,49,No,No,No,No,Yes,Mailed check,Month-to-month,Yes,96.69,4768.11,Yes
Male,1,No,Yes,72,No,No,No,Yes,No,Credit card (automatic),Month-to-month,No,33.27,2457.02,Yes
Male,0,Yes,No,42,No,Yes,No,No,No,Electronic check,One year,No,57.9,2378.73,Yes
Male,0,Yes,Yes,29,No,Yes,No,Yes,Yes,Electronic check,Two year,No,69.13,2055.14,Yes
Female,0,Yes,No,36,No,No,Yes,Yes,No,Credit card (automatic),One year,Yes,81.27,2957.0,No
Female,0,No,No,16,No,Yes,No,Yes,Yes,Electronic check,Two year,Yes,85.78,1380.59,Yes
Female,0,No,No,29,Yes,No,Yes,No,Yes,Credit card (automatic),One year,Yes,105.74,3135.03,No
Female,0,No,No,68,Yes,No,No,Yes,Yes,Bank transfer (automatic),Month-to-month,No,71.87,4879.23,No
Female,0,No,Yes,45,No,Yes,No,No,No,Mailed check,Month-to-month,No,52.77,2392.66,Yes
Male,0,No,No,32,Yes,No,Yes,Yes,Yes,Electronic check,One year,No,66.52,2134.18,No
Male,0,No,No,9,Yes,Yes,No,Yes,No,Mailed check,One year,Yes,62.33,563.23,No
Male,0,Yes,No,66,Yes,Yes,Yes,Yes,No,Credit card (automatic),Month-to-month,Yes,82.48,5464.23,No
Female,0,No,Yes,12,No,No,No,No,No,Electronic check,Month-to-month,No,44.39,534.79,Yes
Female,0,No,Yes,52,Yes,No,No,No,No,Bank transfer (automatic),Month-to-month,Yes,65.79,3442.04,No
Male,0,No,No,22,No,Yes,No,No,No,Credit card (automatic),Month-to-month,Yes,108.94,2366.62,Yes
Female,0,Yes,No,21,No,Yes,No,Yes,Yes,Bank transfer (automatic),One year,No,74.32,1531.91,No
Male,1,Yes,No,13,No,Yes,No,No,Yes,Electronic check,One year,No,44.73,551.14,Yes
Male,0,No,No,28,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Two year,Yes,61.85,1715.25,No
Female,0,Yes,No,49,No,Yes,Yes,No,No,Bank transfer (automatic),Month-to-month,No,18.0,927.6,No
Female,1,Yes,No,30,Yes,Yes,No,No,Yes,Electronic check,Two year,Yes,68.59,2036.82,No
Female,0,No,Yes,2,No,No,Yes,Yes,No,Credit card (automatic),Month-to-month,Yes,109.54,248.45,Yes
Female,0,Yes,No,20,No,No,Yes,No,No,Electronic check,Month-to-month,Yes,41.52,842.38,No
Female,0,Yes,No,12,Yes,No,Yes,No,No,Credit card (automatic),One year,Yes,35.05,400.79,Yes
Male,0,Yes,Yes,29,No,No,No,Yes,Yes,Electronic check,Two year,Yes,54.32,1634.24,No
Male,0,Yes,Yes,65,No,No,No,Yes,Yes,Electronic check,Two year,Yes,92.11,6020.38,No
Male,0,No,No,70,No,No,Yes,Yes,Yes,Bank transfer (automatic),Month-to-month,Yes,110.91,7763.87,Yes
Male,0,No,Yes,72,No,No,Yes,No,No,Electronic check,Month-to-month,Yes,80.76,5810.86,Yes
Male,0,No,No,9,No,No,No,No,No,Electronic check,One year,Yes,39.14,356.46,No
Female,1,No,Yes,36,No,No,No,Yes,No,Electronic check,One year,No,69.47,2431.97,No
Female,0,No,Yes,4,No,No,No,Yes,No,Credit card (automatic),Month-to-month,Yes,112.95,414.66,Yes
Male,0,Yes,Yes,36,Yes,No,No,Yes,No,Electronic check,Month-to-month,Yes,62.54,2272.19,Yes
Female,0,No,No,42,No,Yes,No,Yes,Yes,Bank transfer (automatic),Month-to-month,Yes,73.37,3010.36,Yes
Female,1,Yes,No,56,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Month-to-month,Yes,75.77,4209.67,Yes
Male,0,Yes,No,25,No,Yes,No,Yes,Yes,Mailed check,Month-to-month,Yes,32.9,804.82,No
Male,0,No,Yes,3,No,Yes,No,Yes,Yes,Mailed check,One year,No,93.95,412.52,Yes
Male,0,No,No,33,Yes,Yes,Yes,No,Yes,Electronic check,Month-to-month,Yes,90.49,3016.5,Yes
Male,0,Yes,No,31,No,Yes,No,No,No,Credit card (automatic),One year,Yes,22.16,736.19,No
Female,0,No,No,45,Yes,Yes,No,Yes,Yes,Credit card (automatic),One year,Yes,38.06,1676.66,No
Male,0,Yes,No,8,Yes,No,No,No,Yes,Credit card (automatic),Month-to-month,Yes,46.73,390.11,Yes
Male,0,Yes,No,45,No,Yes,No,Yes,Yes,Bank transfer (automatic),Month-to-month,No,87.96,3879.01,No
Male,1,Yes,No,29,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Two year,Yes,51.97,1492.35,No
Male,0,Yes,No,54,Yes,Yes,No,No,Yes,Credit card (automatic),Month-to-month,No,79.63,4322.89,Yes
Male,0,No,No,71,Yes,Yes,Yes,No,Yes,Mailed check,Two year,No,65.64,4596.46,No
Female,0,Yes,Yes,17,No,No,No,Yes,Yes,Credit card (automatic),Month-to-month,Yes,71.71,1236.73,No
Female,0,Yes,No,55,No,No,No,Yes,No,Electronic check,One year,Yes,81.9,4526.06,Yes
Female,0,Yes,No,10,No,Yes,Yes,No,Yes,Electronic check,Two year,No,76.54,738.25,Yes
Female,0,No,Yes,71,Yes,No,No,Yes,Yes,Mailed check,Month-to-month,No,69.54,4900.11,No
